step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,530,2,0.07683703877511576,0.0,0.0,0.06700939017489099,0.0,0.0,,
2,1060,4,0.07410751609047028,0.0,0.0,,,,,
3,1606,6,0.056847151754944425,0.0,0.0,,,,,
4,2136,8,0.056243208990516984,0.0,0.0,,,,,
5,2666,10,0.04566786869118611,0.0,0.0,,,,,
6,3196,12,0.05169832926807982,0.5,0.5,,,,,
7,3726,14,0.04742528032398585,1.0,1.0,,,,,
8,4256,16,0.04827567157392023,1.0,1.0,,,,,
9,4786,18,0.04399489061624715,1.0,1.0,0.042696142430332575,0.5,0.5,,
10,5316,20,0.043378465090398534,0.0,0.0,,,,,
11,5846,22,0.04132264169102365,1.0,1.0,,,,,
12,6376,24,0.0440270147218623,0.0,0.0,,,,,
13,6906,26,0.042418668822131377,0.5,0.5,,,,,
14,7420,28,0.04181044454686344,1.0,1.0,,,,,
15,7950,30,0.042887542540009954,1.0,1.0,,,,,
16,8480,32,0.04150008934888649,1.0,1.0,,,,,
17,9010,34,0.038596717054871,1.0,1.0,0.04320126697421074,1.0,1.0,,
18,9540,36,0.04020700902198301,1.0,1.0,,,,,
19,10070,38,0.040250308186831806,0.0,0.0,,,,,
20,10600,40,0.037702410698049894,1.0,1.0,,,,,
21,11146,42,0.037139668459182276,1.0,1.0,,,,,
22,11676,44,0.03884081227429719,1.0,1.0,,,,,
23,12206,46,0.038443071586856,1.0,1.0,,,,,
24,12736,48,0.03836407079050939,1.0,1.0,,,,,
25,13266,50,0.03850098793818193,1.0,1.0,0.036371396468020976,1.0,1.0,,
26,13780,52,0.03938644452486186,1.0,1.0,,,,,
27,14310,54,0.03788646294382599,1.0,1.0,,,,,
28,14840,56,0.043459949965278306,0.5,0.5,,,,,
29,15354,58,0.039504548732656984,1.0,1.0,,,,,
30,15884,60,0.037818672662092885,1.0,1.0,,,,,
31,16414,62,0.03731358404500608,1.0,1.0,,,,,
32,16944,64,0.037438481617718934,1.0,1.0,,,,,
33,17474,66,0.037421378681831284,1.0,1.0,0.037086587809590676,1.0,1.0,,
34,18004,68,0.03759908982104565,1.0,1.0,,,,,
35,18534,70,0.03671680556271564,1.0,1.0,,,,,
36,19064,72,0.03724607583601028,1.0,1.0,,,,,
37,19594,74,0.04207350500379548,0.0,0.0,,,,,
38,20076,76,0.041059280641376976,1.0,1.0,,,,,
39,20590,78,0.03842521114391275,1.0,1.0,,,,,
40,21136,80,0.03591588605530834,1.0,1.0,,,,,
41,21682,82,0.03567697676806025,1.0,1.0,0.03675075739212899,1.0,1.0,,
42,22212,84,0.03639809707320775,1.0,1.0,,,,,
43,22742,86,0.035976713386956946,1.0,1.0,,,,,
44,23288,88,0.035281433238209606,1.0,1.0,,,,,
45,23818,90,0.035823844081552876,1.0,1.0,,,,,
46,24348,92,0.03631463109840159,1.0,1.0,,,,,
47,24878,94,0.03778546734007471,0.5,0.5,,,,,
48,25408,96,0.04016433331787332,0.5,0.5,,,,,
49,25938,98,0.036414525921837505,1.0,1.0,0.03918248179179059,1.0,1.0,,
50,26452,100,0.040249302686333976,1.0,1.0,,,,,
51,26982,102,0.04005515697673245,1.0,1.0,,,,,
52,27512,104,0.037043970057769035,1.0,1.0,,,,,
53,28026,106,0.03820524700655369,1.0,1.0,,,,,
54,28572,108,0.03578670060385348,1.0,1.0,,,,,
55,29102,110,0.03741356029993657,1.0,1.0,,,,,
56,29648,112,0.03517398720355498,1.0,1.0,,,,,
57,30178,114,0.03642708836885339,1.0,1.0,0.03655945732060707,1.0,1.0,,
58,30708,116,0.03659757063510673,1.0,1.0,,,,,
59,31222,118,0.040880282473517576,1.0,1.0,,,,,
60,31752,120,0.03640051868578391,1.0,1.0,,,,,
61,32282,122,0.03631372160793311,1.0,1.0,,,,,
62,32828,124,0.03597483504447155,1.0,1.0,,,,,
63,33358,126,0.03742933191260266,1.0,1.0,,,,,
64,33888,128,0.03671647406119684,1.0,1.0,,,,,
65,34418,130,0.03637805438967366,1.0,1.0,0.03650493373417042,1.0,1.0,,
66,34948,132,0.03681618803265419,1.0,1.0,,,,,
67,35462,134,0.03937529341201298,1.0,1.0,,,,,
68,36008,136,0.0346784399034839,1.0,1.0,,,,,
