step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
101,104122,202,0.017650361688007883,1.0,1.0,,,,,
102,105148,204,0.018068569546542505,1.0,1.0,,,,,
103,106190,206,0.018067726821337123,1.0,1.0,,,,,
104,107232,208,0.018227306381194665,1.0,1.0,,,,,
105,108274,210,0.018293708515197047,1.0,1.0,0.018324147739534915,1.0,1.0,,
106,109316,212,0.018166015831803536,1.0,1.0,,,,,
107,110342,214,0.018719329200361432,1.0,1.0,,,,,
108,111384,216,0.01860028726932961,1.0,1.0,,,,,
109,112410,218,0.01819635556764295,1.0,1.0,,,,,
110,113436,220,0.01805218301759202,1.0,1.0,,,,,
111,114462,222,0.017869782282138792,1.0,1.0,,,,,
112,115504,224,0.01758901657173595,1.0,1.0,,,,,
113,116530,226,0.018134246178521562,1.0,1.0,0.018046358413833702,1.0,1.0,,
114,117556,228,0.01858903474159565,1.0,1.0,,,,,
115,118582,230,0.018687718611562574,1.0,1.0,,,,,
116,119608,232,0.017820055996429017,1.0,1.0,,,,,
117,120634,234,0.018014922366753405,1.0,1.0,,,,,
118,121660,236,0.018070306313423767,1.0,1.0,,,,,
119,122686,238,0.018256702013684324,1.0,1.0,,,,,
120,123728,240,0.01813929302189213,1.0,1.0,,,,,
121,124754,242,0.018433853026231527,1.0,1.0,0.018183698629168847,1.0,1.0,,
122,125780,244,0.018495851898705163,1.0,1.0,,,,,
123,126806,246,0.01804716672030241,1.0,1.0,,,,,
124,127832,248,0.017925009498893415,1.0,1.0,,,,,
125,128858,250,0.017795839124088886,1.0,1.0,,,,,
126,129884,252,0.017646462695009687,1.0,1.0,,,,,
127,130910,254,0.017724036998221546,1.0,1.0,,,,,
128,131936,256,0.020380008983125426,0.0,0.0,,,,,
129,132978,258,0.01745155346184696,1.0,1.0,0.02635405739752994,0.0,0.0,,
130,134004,260,0.02383263377357567,0.5,0.5,,,,,
131,135030,262,0.017804292843651433,1.0,1.0,,,,,
132,136056,264,0.017863377841818136,1.0,1.0,,,,,
133,137082,266,0.01846343081010874,1.0,1.0,,,,,
134,138108,268,0.018411732048057166,1.0,1.0,,,,,
135,139134,270,0.018547278331363534,1.0,1.0,,,,,
136,140160,272,0.018825157514499376,1.0,1.0,,,,,
137,141186,274,0.01875154335967939,1.0,1.0,0.018199469491979307,1.0,1.0,,
138,142228,276,0.018363038781613994,1.0,1.0,,,,,
139,143254,278,0.018431633053217492,1.0,1.0,,,,,
140,144280,280,0.018316194518541315,1.0,1.0,,,,,
141,145306,282,0.0185671803072714,1.0,1.0,,,,,
142,146332,284,0.018217165714546606,1.0,1.0,,,,,
143,147374,286,0.017864622544392875,1.0,1.0,,,,,
144,148400,288,0.018137631592554035,1.0,1.0,,,,,
145,149442,290,0.017682928260475392,1.0,1.0,0.01792470359035246,1.0,1.0,,
146,150484,292,0.017655608321720848,1.0,1.0,,,,,
147,151510,294,0.017773064510531032,1.0,1.0,,,,,
148,152536,296,0.01788942433218922,1.0,1.0,,,,,
149,153578,298,0.017662823899036995,1.0,1.0,,,,,
150,154604,300,0.01779762920918571,1.0,1.0,,,,,
151,155630,302,0.017637793122293507,1.0,1.0,,,,,
152,156656,304,0.017718320721634713,1.0,1.0,,,,,
153,157682,306,0.017768764809981304,1.0,1.0,0.017738086410241896,1.0,1.0,,
154,158724,308,0.01745279921813066,1.0,1.0,,,,,
155,159750,310,0.017806773284466778,1.0,1.0,,,,,
156,160776,312,0.017759333669750906,1.0,1.0,,,,,
157,161802,314,0.017746129974894862,1.0,1.0,,,,,
158,162828,316,0.01776688731211585,1.0,1.0,,,,,
159,163854,318,0.017998597380382265,1.0,1.0,,,,,
160,164880,320,0.017814909198469436,1.0,1.0,,,,,
161,165906,322,0.01766078395810814,1.0,1.0,0.01815512963328502,1.0,1.0,,
162,166932,324,0.017915454035724865,1.0,1.0,,,,,
163,167974,326,0.017744392472386784,1.0,1.0,,,,,
164,169000,328,0.018012008120583494,1.0,1.0,,,,,
165,170042,330,0.017874774596959127,1.0,1.0,,,,,
166,171068,332,0.017837763835587776,1.0,1.0,,,,,
167,172094,334,0.017903077317644574,1.0,1.0,,,,,
168,173120,336,0.017829078851785682,1.0,1.0,,,,,
169,174146,338,0.01766781812789616,1.0,1.0,0.017523223142560464,1.0,1.0,,
170,175172,340,0.017873016325557486,1.0,1.0,,,,,
171,176198,342,0.01777667185789626,1.0,1.0,,,,,
172,177224,344,0.017725145527849873,1.0,1.0,,,,,
173,178250,346,0.018137257510054034,1.0,1.0,,,,,
174,179276,348,0.018775304187164887,1.0,1.0,,,,,
175,180318,350,0.017895561082035504,1.0,1.0,,,,,
176,181360,352,0.017694942318124705,1.0,1.0,,,,,
177,182386,354,0.0178773938794229,1.0,1.0,0.01787262161807359,1.0,1.0,,
178,183412,356,0.017955465753748404,1.0,1.0,,,,,
179,184438,358,0.0176568297489961,1.0,1.0,,,,,
180,185464,360,0.018174390198764222,1.0,1.0,,,,,
181,186490,362,0.018090521516919575,1.0,1.0,,,,,
182,187516,364,0.01767641643032065,1.0,1.0,,,,,
183,188542,366,0.0177298658841057,1.0,1.0,,,,,
184,189568,368,0.018005207486732188,1.0,1.0,,,,,
185,190594,370,0.01795364818189285,1.0,1.0,0.017920477467220426,1.0,1.0,,
186,191620,372,0.018011405637241417,1.0,1.0,,,,,
187,192662,374,0.01781681292284205,1.0,1.0,,,,,
188,193688,376,0.01779829942296584,1.0,1.0,,,,,
189,194714,378,0.017633298281080484,1.0,1.0,,,,,
190,195740,380,0.01769503838108235,1.0,1.0,,,,,
191,196766,382,0.017809445106457867,1.0,1.0,,,,,
192,197792,384,0.01776813154277347,1.0,1.0,,,,,
193,198818,386,0.017638821454660312,1.0,1.0,0.017652740906692905,1.0,1.0,,
194,199844,388,0.017822192665117673,1.0,1.0,,,,,
195,200870,390,0.01782987287213292,1.0,1.0,,,,,
196,201912,392,0.0175783815183193,1.0,1.0,,,,,
197,202954,394,0.017542346324916136,1.0,1.0,,,,,
198,203980,396,0.017890789048158204,1.0,1.0,,,,,
199,205022,398,0.017582466730328965,1.0,1.0,,,,,
200,206048,400,0.017818669806632704,1.0,1.0,,,,,
201,207074,402,0.017754967989636727,1.0,1.0,0.017575179391795197,1.0,1.0,,
202,208100,404,0.01768062785487767,1.0,1.0,,,,,
203,209126,406,0.01777662518746112,1.0,1.0,,,,,
204,210152,408,0.01797631400360416,1.0,1.0,,,,,
205,211194,410,0.01746832471671772,1.0,1.0,,,,,
206,212220,412,0.017754762161477727,1.0,1.0,,,,,
207,213262,414,0.01759885252169674,1.0,1.0,,,,,
208,214288,416,0.0181674378530058,1.0,1.0,,,,,
209,215330,418,0.01771009770396979,1.0,1.0,0.01792271930049362,1.0,1.0,,
210,216356,420,0.017819321874652183,1.0,1.0,,,,,
211,217382,422,0.017651481523854866,1.0,1.0,,,,,
212,218408,424,0.01767655179701966,1.0,1.0,,,,,
213,219434,426,0.018844638069938736,0.5,0.5,,,,,
214,220460,428,0.017813981767006302,1.0,1.0,,,,,
215,221502,430,0.01786389748850964,1.0,1.0,,,,,
216,222528,432,0.017914137824098904,1.0,1.0,,,,,
217,223554,434,0.019307231870514602,1.0,1.0,0.019395765912827472,1.0,1.0,,
218,224580,436,0.01934237451286557,1.0,1.0,,,,,
219,225622,438,0.01785368263528207,1.0,1.0,,,,,
220,226664,440,0.017806760672102313,1.0,1.0,,,,,
221,227690,442,0.01816120318600329,1.0,1.0,,,,,
222,228716,444,0.017922099569997716,1.0,1.0,,,,,
223,229758,446,0.01830400591385788,0.5,0.5,,,,,
224,230784,448,0.017845410486029643,1.0,1.0,,,,,
225,231810,450,0.017788807457547937,1.0,1.0,0.017733592413033367,1.0,1.0,,
226,232836,452,0.017809836535588985,1.0,1.0,,,,,
227,233862,454,0.017791581375621143,1.0,1.0,,,,,
228,234888,456,0.017777283124151666,1.0,1.0,,,,,
229,235930,458,0.01752088534276789,1.0,1.0,,,,,
230,236956,460,0.01762373674782464,1.0,1.0,,,,,
231,237982,462,0.01763157399433874,1.0,1.0,,,,,
232,239008,464,0.01769978056052729,1.0,1.0,,,,,
233,240050,466,0.017531808651413624,1.0,1.0,0.01773748747325736,1.0,1.0,,
234,241076,468,0.017726521572983683,1.0,1.0,,,,,
235,242118,470,0.01748371936774713,1.0,1.0,,,,,
236,243160,472,0.0175227507758495,1.0,1.0,,,,,
237,244202,474,0.017338407971730346,1.0,1.0,,,,,
238,245228,476,0.02163485854719442,0.0,0.0,,,,,
239,246270,478,0.017494936615063315,1.0,1.0,,,,,
